date,value,mom_inflation_rate,mom_annualized_rate,yoy_inflation_rate
2015-01-01,233.707,,,
2015-02-01,234.722,0.43,5.34,
2015-03-01,236.119,0.6,7.38,
2015-04-01,236.599,0.2,2.47,
2015-05-01,237.805,0.51,6.29,
2015-06-01,238.638,0.35,4.29,
2015-07-01,238.654,0.01,0.08,
2015-08-01,238.316,-0.14,-1.69,
2015-09-01,237.945,-0.16,-1.85,
2015-10-01,237.838,-0.04,-0.54,
2015-11-01,237.336,-0.21,-2.5,
2015-12-01,236.525,-0.34,-4.02,
2016-01-01,236.916,0.17,2.0,1.37
2016-02-01,237.111,0.08,0.99,1.02
2016-03-01,238.132,0.43,5.29,0.85
2016-04-01,239.261,0.47,5.84,1.13
2016-05-01,240.229,0.4,4.96,1.02
2016-06-01,241.018,0.33,4.01,1.0
2016-07-01,240.628,-0.16,-1.92,0.83
2016-08-01,240.849,0.09,1.11,1.06
2016-09-01,241.428,0.24,2.92,1.46
2016-10-01,241.729,0.12,1.51,1.64
2016-11-01,241.353,-0.16,-1.85,1.69
2016-12-01,241.432,0.03,0.39,2.07
2017-01-01,242.839,0.58,7.22,2.5
2017-02-01,243.603,0.31,3.84,2.74
2017-03-01,243.801,0.08,0.98,2.38
2017-04-01,244.524,0.3,3.62,2.2
2017-05-01,244.733,0.09,1.03,1.87
2017-06-01,244.955,0.09,1.09,1.63
2017-07-01,244.786,-0.07,-0.82,1.73
2017-08-01,245.519,0.3,3.65,1.94
2017-09-01,246.819,0.53,6.54,2.23
2017-10-01,246.663,-0.06,-0.76,2.04
2017-11-01,246.669,0.0,0.03,2.2
2017-12-01,246.524,-0.06,-0.7,2.11
2018-01-01,247.867,0.54,6.74,2.07
2018-02-01,248.991,0.45,5.58,2.21
2018-03-01,249.554,0.23,2.75,2.36
2018-04-01,250.546,0.4,4.88,2.46
2018-05-01,251.588,0.42,5.11,2.8
2018-06-01,251.989,0.16,1.93,2.87
2018-07-01,252.006,0.01,0.08,2.95
2018-08-01,252.146,0.06,0.67,2.7
2018-09-01,252.439,0.12,1.4,2.28
2018-10-01,252.885,0.18,2.14,2.52
2018-11-01,252.038,-0.33,-3.95,2.18
2018-12-01,251.233,-0.32,-3.77,1.91
2019-01-01,251.712,0.19,2.31,1.55
2019-02-01,252.776,0.42,5.19,1.52
2019-03-01,254.202,0.56,6.98,1.86
2019-04-01,255.548,0.53,6.54,2.0
2019-05-01,256.092,0.21,2.58,1.79
2019-06-01,256.143,0.02,0.24,1.65
2019-07-01,256.571,0.17,2.02,1.81
2019-08-01,256.558,-0.01,-0.06,1.75
2019-09-01,256.759,0.08,0.94,1.71
2019-10-01,257.346,0.23,2.78,1.76
2019-11-01,257.208,-0.05,-0.64,2.05
2019-12-01,256.974,-0.09,-1.09,2.29
2020-01-01,257.971,0.39,4.76,2.49
2020-02-01,258.678,0.27,3.34,2.33
2020-03-01,258.115,-0.22,-2.58,1.54
2020-04-01,256.389,-0.67,-7.74,0.33
2020-05-01,256.394,0.0,0.02,0.12
2020-06-01,257.797,0.55,6.77,0.65
2020-07-01,259.101,0.51,6.24,0.99
2020-08-01,259.918,0.32,3.85,1.31
2020-09-01,260.28,0.14,1.68,1.37
2020-10-01,260.388,0.04,0.5,1.18
2020-11-01,260.229,-0.06,-0.73,1.17
2020-12-01,260.474,0.09,1.14,1.36
2021-01-01,261.582,0.43,5.23,1.4
2021-02-01,263.014,0.55,6.77,1.68
2021-03-01,264.877,0.71,8.84,2.62
2021-04-01,267.054,0.82,10.32,4.16
2021-05-01,269.195,0.8,10.06,4.99
2021-06-01,271.696,0.93,11.74,5.39
2021-07-01,273.003,0.48,5.93,5.37
2021-08-01,273.567,0.21,2.51,5.25
2021-09-01,274.31,0.27,3.31,5.39
2021-10-01,276.589,0.83,10.44,6.22
2021-11-01,277.948,0.49,6.06,6.81
2021-12-01,278.802,0.31,3.75,7.04
2022-01-01,281.148,0.84,10.58,7.48
2022-02-01,283.716,0.91,11.53,7.87
2022-03-01,287.504,1.34,17.25,8.54
2022-04-01,289.109,0.56,6.91,8.26
2022-05-01,292.296,1.1,14.06,8.58
2022-06-01,296.311,1.37,17.79,9.06
2022-07-01,296.276,-0.01,-0.14,8.52
2022-08-01,296.171,-0.04,-0.42,8.26
2022-09-01,296.808,0.22,2.61,8.2
2022-10-01,298.012,0.41,4.98,7.75
2022-11-01,297.711,-0.1,-1.21,7.11
2022-12-01,296.797,-0.31,-3.62,6.45
2023-01-01,299.17,0.8,10.03,6.41
2023-02-01,300.84,0.56,6.91,6.04
2023-03-01,301.836,0.33,4.05,4.98
2023-04-01,303.363,0.51,6.24,4.93
2023-05-01,304.127,0.25,3.06,4.05
2023-06-01,305.109,0.32,3.94,2.97
2023-07-01,305.691,0.19,2.31,3.18
2023-08-01,307.026,0.44,5.37,3.67
2023-09-01,307.789,0.25,3.02,3.7
2023-10-01,307.671,-0.04,-0.46,3.24
2023-11-01,307.051,-0.2,-2.39,3.14
2023-12-01,306.746,-0.1,-1.19,3.35
2024-01-01,308.417,0.54,6.74,3.09
2024-02-01,310.326,0.62,7.69,3.15
2024-03-01,312.332,0.65,8.04,3.48
2024-04-01,313.548,0.39,4.77,3.36
2024-05-01,314.069,0.17,2.01,3.27
2024-06-01,314.175,0.03,0.41,2.97
2024-07-01,314.54,0.12,1.4,2.89
2024-08-01,314.796,0.08,0.98,2.53
2024-09-01,315.301,0.16,1.94,2.44
2024-10-01,315.664,0.12,1.39,2.6
2024-11-01,315.493,-0.05,-0.65,2.75
2024-12-01,315.605,0.04,0.43,2.89
2025-01-01,317.671,0.65,8.14,3.0
2025-02-01,319.082,0.44,5.46,2.82
2025-03-01,319.799,0.22,2.73,2.39
2025-04-01,320.795,0.31,3.8,2.31
2025-05-01,321.465,0.21,2.54,2.35
2025-06-01,322.561,0.34,4.17,2.67
2025-07-01,323.048,0.15,1.83,2.7
2025-08-01,323.976,0.29,3.5,2.92
2025-09-01,324.8,0.25,3.1,3.01
2025-11-01,324.122,-0.21,-2.48,2.68
2025-12-01,324.054,-0.02,-0.25,2.71
